"round","newround.time","choice.time","buttonpress.time","conf.time","reveal.time","choice.location","choice.class","outcome","win.prob","exputil","exputil.gamble","pot.payoff","payoff","rpe","fictive"
167,624.16600009,624.932000122,626.031000099,626.05100008,626.578000031,"Right","Safebet","WouldHaveLost",0.2,10,5,25,10,0,10
168,627.599000177,628.364000044,629.41600009,629.436000071,629.961000166,"Left","Gamble","Loss",0.5,10,10,20,0,-10,-10
169,630.982000074,631.747000179,632.478000126,632.499000034,633.022999964,"Right","Safebet","WouldHaveLost",0.3,10,4.5,15,10,0,10
170,634.044000111,634.808999977,635.596000156,635.617000065,636.143000088,"Left","Gamble","Win",0.8,16,16,20,20,4,10
171,637.162000141,637.929000101,639.106000147,639.126000128,639.652000151,"Right","Safebet","WouldHaveLost",0.3,10,7.5,25,10,0,10
172,640.670999966,641.436000071,642.765999994,642.785999975,643.311000071,"Right","Safebet","WouldHaveWon",0.2,10,5,25,10,0,-15
173,644.331999979,645.097000084,646.729000053,646.749000034,647.275000057,"Right","Safebet","WouldHaveWon",0.5,10,7.5,15,10,0,-5
174,648.295999966,649.061000071,649.873000107,649.894000015,650.419000111,"Left","Gamble","Win",0.5,10,10,20,20,10,10
175,651.439000092,652.205000124,653.371000013,653.393000088,653.917000017,"Right","Gamble","Win",1,25,25,25,25,0,15
176,654.938000164,655.703999958,656.82500001,656.84499999,657.370000086,"Left","Gamble","Win",0.7,21,21,30,30,9,20
177,658.390999994,659.157000027,659.879000149,659.89900013,660.423000059,"Right","Gamble","Win",0.6,15,15,25,25,10,15
178,661.443999968,662.208000145,663.211000166,663.232000074,663.75700017,"Left","Safebet","WouldHaveLost",0.1,10,3,30,10,0,10
179,664.778000078,665.543000183,666.635000191,666.655000172,667.180000029,"Left","Gamble","Win",0.5,10,10,20,20,10,10
180,668.201000175,668.966999969,669.747000179,669.768000088,670.293000183,"Right","Gamble","Win",0.9,13.5,13.5,15,15,1.5,5
181,671.313000164,672.078000031,673.012000046,673.033000193,673.558999977,"Left","Safebet","WouldHaveLost",0.1,10,1.5,15,10,0,10
182,674.580000124,675.346000156,676.326000175,676.347000084,676.871000013,"Right","Safebet","WouldHaveWon",0.4,10,12,30,10,0,-20
